"udid","time","count","avg_duration"
"104022664","1475035200","1","1961"
"104022241","1475038800","1","5"
"103990300","1475038800","1","28"
"104022795","1475038800","1","532"
"104022106","1475042400","2","861"
"104010899","1475042400","2","256"
"103994820","1475042400","1","8"
"104022890","1475046000","1","1423"
"104022892","1475049600","1","404"
"104003748","1475049600","1","3"
"104019495","1475049600","1","298"
"104022670","1475049600","1","503"
"104022794","1475049600","2","87"
"104022795","1475049600","2","99"
"104022842","1475049600","3","172"
"104017926","1475053200","3","1672"
"104022554","1475053200","2","82"
"104022670","1475053200","2","1504"
"104022794","1475053200","1","2847"
"104022867","1475056800","1","15"
"104001732","1475056800","1","25"
"104020494","1475060400","1","18"
"104021079","1475060400","3","239"
"104022816","1475064000","1","1232"
"103972991","1475064000","5","3124"
"104021079","1475064000","1","435"
"104022512","1475064000","1","51"
"104022554","1475064000","1","183"
"104022867","1475064000","2","71"
"104022867","1475067600","1","2077"
"104019070","1475067600","1","70"
"104022094","1475067600","1","1"
"104022628","1475067600","2","314"
"104022904","1475067600","1","1768"
"104022670","1475071200","2","1552"
"104010753","1475071200","1","72544"
"104020494","1475071200","1","42"
"104022628","1475071200","1","75"
"104022904","1475071200","1","269"
"104022681","1475074800","1","4"
"104015692","1475074800","1","42"
"104021601","1475074800","3","37912"
"104021801","1475074800","1","4512"
"104022306","1475074800","2","213"
"104022670","1475074800","1","690"
"104022775","1475074800","1","134"
"104021606","1475078400","1","69"
"103998530","1475078400","1","227"
"104017637","1475078400","1","252"
"104022915","1475078400","2","927"
"104022917","1475078400","1","10097"
"104022918","1475078400","1","92"
"104022919","1475078400","1","222"
"104022920","1475078400","3","130"
"104007670","1475082000","1","63"
"104021801","1475082000","1","56"
"104022917","1475082000","6","2031"
"104018748","1475085600","1","6"
"104022471","1475085600","18","9427"
"104022906","1475085600","1","81726"
"104022917","1475085600","5","752"
"104022925","1475085600","3","42457"
"104022926","1475085600","1","1091"
"104022928","1475085600","1","42086"
"104022927","1475085600","1","9455"
"103975470","1475085600","1","4"
"104015440","1475085600","4","1162"
"104022925","1475089200","1","3"
"103962143","1475089200","1","8"
"103995640","1475089200","36","2919"
"104017447","1475089200","2","311"
"104020420","1475089200","1","65"
"104022015","1475089200","1","107"
"104022471","1475089200","1","42"
"104022917","1475089200","2","56"
"104022928","1475089200","1","1989"
"104022921","1475092800","2","846"
"104020129","1475092800","1","256"
"104022928","1475092800","3","3870"
"104022658","1475092800","1","75"
"104022899","1475092800","3","943"
"104022917","1475092800","7","1754"
"104022925","1475092800","1","158"
"104015672","1475096400","3","584"
"103981987","1475096400","8","7884"
"104004352","1475096400","1","13"
"104017743","1475096400","4","5924"
"104019557","1475096400","1","47"
"104022027","1475096400","2","83"
"104022652","1475096400","1","9"
"104022654","1475096400","1","65"
"104022899","1475096400","2","77"
"104022917","1475096400","2","1220"
"104022948","1475096400","1","357"
"104022935","1475100000","1","73885"
"103980212","1475100000","1","36"
"103998297","1475100000","1","15"
"104008920","1475100000","2","436"
"104010833","1475100000","3","331"
"104020372","1475100000","1","10"
"104020686","1475100000","1","1"
"104020963","1475100000","1","323"
"104021353","1475100000","1","819"
"104022027","1475100000","4","1527"
"104021801","1475103600","2","366"
"103967509","1475103600","2","16"
"103967509","1475103600","1","210"
"103986007","1475103600","1","14"
"104020220","1475103600","1","189"
"104022962","1475103600","3","2182"
"104022554","1475107200","2","97"
"103994978","1475107200","1","93"
"104008920","1475107200","6","1553"
"104012689","1475107200","1","76"
"104019557","1475107200","1","103"
"104021801","1475107200","1","315"
"104022491","1475107200","1","413"
"104022967","1475107200","1","1678"
"104014531","1475110800","2","754"
"104022962","1475110800","1","6"
"104022578","1475114400","1","35"
"104008920","1475114400","7","1168"
"104022935","1475114400","2","126"
"104021290","1475118000","5","1631"
"104008920","1475118000","2","143"
"104015194","1475118000","1","50"
"104022554","1475118000","1","135"
"104022978","1475118000","2","892"
"104022981","1475118000","5","22333"
"104022982","1475118000","1","84120"
"104022985","1475121600","1","5053"
"104004932","1475121600","1","1"
"104021112","1475121600","1","13"
"104022664","1475121600","1","280"
"104022921","1475121600","1","103"
"104022962","1475121600","1","89"
"104022982","1475121600","1","1482"
"104022616","1475125200","1","36"
"103997607","1475125200","1","4"
"104000145","1475125200","1","4"
"104022985","1475125200","4","3970"
"104003901","1475128800","1","68"
"104022069","1475128800","1","166"
"104003799","1475132400","4","846"
"104022936","1475132400","2","36"
"104022962","1475132400","4","501"
"104022991","1475136000","2","283"
"103986910","1475136000","1","4"
"104003748","1475136000","1","1"
"104022554","1475139600","1","49"
"104022538","1475139600","1","27"
"103998571","1475139600","1","257"
"103998954","1475139600","2","162"
"104015672","1475139600","2","1015"
"103984350","1475143200","1","23"
"104022995","1475143200","2","1594"
"104022915","1475143200","1","105"
"103998571","1475143200","1","660"
"103998571","1475146800","7","1215"
"104022027","1475146800","2","412"
"104021239","1475146800","13","6634"
"104018201","1475146800","1","16"
"104017372","1475146800","1","146"
"103972991","1475146800","1","37"
"104022992","1475150400","1","12739"
"103998571","1475150400","1","227"
"104019847","1475150400","3","12173"
"104022360","1475154000","1","26"
"104022998","1475154000","2","2592"
"104022816","1475154000","2","381"
"104022415","1475154000","1","1160"
"104022999","1475154000","1","30"
"104022707","1475157600","1","940"
"104022301","1475157600","1","4"
"104003626","1475157600","7","2234"
"104022999","1475157600","1","3163"
"104022902","1475157600","1","7"
"104022710","1475157600","2","855"
"104022301","1475161200","1","2"
"104021434","1475161200","1","17514"
"104004404","1475161200","1","193"
"104023004","1475161200","3","167"
"104022710","1475161200","2","700"
"104022551","1475161200","1","2"
"104022857","1475164800","1","694"
"104022902","1475164800","1","227"
"104022546","1475164800","1","3"
"104022094","1475164800","1","3"
"103976927","1475164800","1","415"
"104023006","1475164800","2","82"
"104023005","1475164800","1","3577"
"104023009","1475168400","1","81"
"104022651","1475168400","1","4"
"104004483","1475168400","2","960"
"104022710","1475168400","1","10"
"104022995","1475172000","1","270"
"104023007","1475172000","1","6"
"104019546","1475172000","4","521"
"104017963","1475172000","1","28"
"104006059","1475172000","2","1378"
"104023019","1475172000","1","12"
"104021734","1475172000","1","28"
"104019557","1475172000","1","204"
"104012789","1475175600","1","18"
"104022985","1475175600","2","1559"
"104023024","1475175600","1","64789"
"104023007","1475175600","2","47"
"104023020","1475175600","2","2460"
"104022387","1475175600","2","1942"
"104020105","1475175600","1","26"
"104020220","1475175600","2","74"
"104019783","1475175600","4","1382"
"104000408","1475179200","1","159"
"104022867","1475179200","2","537"
"104023007","1475179200","1","21"
"104023036","1475182800","1","17349"
"103999221","1475182800","1","4"
"104012689","1475182800","4","1660"
"104016011","1475182800","1","6"
"104020220","1475182800","1","12"
"104021093","1475182800","3","1874"
"104022931","1475182800","1","56"
"104023032","1475186400","2","7525"
"103976253","1475186400","1","1754"
"104012689","1475186400","1","242"
"104021239","1475186400","13","6634"
"104021542","1475186400","1","234"
"104023041","1475186400","1","4850"
"104022399","1475190000","1","389"
"104000408","1475190000","1","9"
"104016336","1475190000","1","62"
"104022074","1475190000","3","1447"
"104023032","1475190000","1","190"
"104018586","1475193600","1","1"
"103981265","1475193600","1","1857"
"104000408","1475193600","1","364"
"104023053","1475193600","1","5"
"104021528","1475197200","4","198"
"103999457","1475197200","1","59"
"104023056","1475197200","2","6328"
"104023057","1475197200","1","31571"
"104020269","1475200800","3","2218"
"103976694","1475200800","1","56160"
"104020866","1475204400","2","805"
"104022356","1475204400","1","402"
"104022669","1475204400","1","203"
"104023065","1475204400","1","42199"
"104022982","1475204400","2","314"
"103981680","1475204400","1","1"
"104022654","1475208000","2","657"
"104003799","1475208000","1","409"
"104022069","1475208000","2","298"
"104022356","1475208000","1","102"
"104022985","1475208000","1","30"
"104007755","1475211600","1","3"
"104021801","1475211600","1","42"
"104021734","1475215200","1","835"
"104017743","1475215200","6","41366"
"104023076","1475215200","1","1908"
"104023066","1475218800","2","338"
